session_id,start_time,end_time,ip_address,country,language,messages_sent,sentiment,escalated,forwarded_hr,full_transcript,avg_response_time,tokens,tokens_eur,category,initial_msg,user_rating
session_1,2025-03-01 03:21:14,2025-03-01 03:22:14,145.75.32.1,Netherlands,Turkish,1,Positive,No,No,https://chatbotlogs.com/session_58,2.73,73,0.022,Personal,How do I swap shifts?,
session_2,2025-03-01 08:27:48,2025-03-01 08:36:48,82.217.56.10,Netherlands,Turkish,8,Positive,No,No,https://chatbotlogs.com/session_211,2.21,584,0.175,IT Support,How do I request leave?,5.0
session_3,2025-03-01 08:45:43,2025-03-01 08:46:43,37.77.184.22,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_250,3.24,74,0.022,Scheduling,What are the company policies?,
session_4,2025-03-01 09:46:30,2025-03-01 09:47:30,145.75.32.1,Netherlands,Dutch,2,Positive,Yes,Yes,https://chatbotlogs.com/session_71,2.33,132,0.04,Personal,Who do I talk to about my pension plan options?,2.0
session_5,2025-03-01 11:25:47,2025-03-01 11:26:47,82.217.56.10,Netherlands,Moroccan Arabic,1,Positive,No,No,https://chatbotlogs.com/session_275,2.17,72,0.022,IT Support,Who do I contact for IT help?,
session_6,2025-03-01 13:26:31,2025-03-01 13:35:31,82.217.56.10,Netherlands,Dutch,10,Positive,Yes,Yes,https://chatbotlogs.com/session_124,2.03,470,0.141,Scheduling,What is the process for requesting disability accommodations?,
session_7,2025-03-01 15:00:19,2025-03-01 15:09:19,37.77.184.22,Netherlands,Dutch,10,Positive,No,No,https://chatbotlogs.com/session_174,1.91,730,0.219,Scheduling,When do I get paid?,5.0
session_8,2025-03-01 15:56:34,2025-03-01 15:57:34,82.217.56.10,Netherlands,Dutch,2,Positive,No,No,https://chatbotlogs.com/session_130,2.45,102,0.031,IT Support,Where is the break room?,1.0
session_9,2025-03-01 17:10:23,2025-03-01 17:19:23,37.77.184.22,Netherlands,Dutch,9,Positive,No,No,https://chatbotlogs.com/session_292,2.8,639,0.192,IT Support,Why can’t I log in?,5.0
session_10,2025-03-01 17:19:21,2025-03-01 17:20:21,145.75.32.1,Netherlands,Dutch,2,Positive,Yes,Yes,https://chatbotlogs.com/session_207,3.14,96,0.029,Scheduling,Can I request a salary adjustment based on performance?,
